ROI_Num_Power2013,X,Y,Z,Participation_Coefficient,Community_Density,Implicated_in_Dyslexia,In_Maisog2008,In_Richlan2009,In_Paulesu2014
1,-7,-21,65,0.0,5.7,0,0,0,0
2,-7,-33,72,0.0,5.3,0,0,0,0
3,13,-33,75,0.0,5.4,0,0,0,0
4,-23,-30,72,0.18,4.2,0,0,0,0
5,20,-29,60,0.15,5.8,0,0,0,0
6,10,-17,74,0.0,5.3,0,0,0,0
7,-21,-31,61,0.13,5.6,0,0,0,0
8,-13,-17,75,0.15,5.3,0,0,0,0
9,2,-28,60,0.0,8.4,0,0,0,0
10,3,-17,58,0.18,5.6,0,0,0,0
11,29,-17,71,0.24,4.4,0,0,0,0
12,-40,-19,54,0.21,6.6,1,0,1,0
13,-38,-27,69,0.14,3.8,0,0,0,0
14,44,-8,57,3.01,11.5,0,0,0,0
15,42,-20,55,0.15,5.2,1,0,0,1
16,-38,-15,69,0.1,4.9,0,0,0,0
17,38,-17,45,0.44,10.5,0,0,0,0
18,10,-46,73,1.62,15.4,0,0,0,0
19,29,-39,59,1.43,9.1,0,0,0,0
20,-29,-43,61,2.22,8.5,0,0,0,0
21,22,-42,69,1.64,9.1,0,0,0,0
22,-16,-46,73,0.52,9.3,0,0,0,0
23,-16,-5,71,4.07,11.6,0,0,0,0
24,-14,-18,40,0.36,15.5,0,0,0,0
25,0,-15,47,3.39,14.6,0,0,0,0
26,-10,-2,42,2.11,12.8,0,0,0,0
27,10,-2,45,2.24,11.2,0,0,0,0
28,19,-8,64,3.17,13.3,0,0,0,0
29,-54,-23,43,1.47,8.3,0,0,0,0
30,50,-20,42,0.98,10.1,0,0,0,0
31,47,-30,49,5.28,10.4,1,0,0,1
32,-45,-32,47,2.98,9.2,1,0,0,1
33,54,-28,34,4.13,12.7,1,1,0,0
34,32,-26,13,1.93,12.0,0,0,0,0
35,65,-33,20,3.28,11.0,0,0,0,0
36,43,-23,20,1.56,9.6,0,0,0,0
37,58,-16,7,1.88,9.0,0,0,0,0
38,-38,-33,17,0.96,6.3,0,0,0,0
39,-60,-25,14,2.25,9.2,0,0,0,0
40,-49,-26,5,1.49,10.6,1,0,1,0
41,36,-9,14,2.15,13.1,0,0,0,0
42,-50,-34,26,2.12,14.2,1,1,0,0
43,-53,-22,23,2.35,13.4,0,0,0,0
44,-55,-9,12,2.38,10.4,0,0,0,0
45,56,-5,13,2.25,12.2,0,0,0,0
46,59,-17,29,3.86,12.9,1,0,1,0
47,-49,-11,35,0.29,9.8,0,0,0,0
48,51,-6,32,0.46,12.7,0,0,0,0
49,-53,-10,24,0.99,10.5,0,0,0,0
50,66,-8,25,1.02,8.6,0,0,0,0
51,-45,0,9,4.16,11.5,0,0,0,0
52,-3,2,53,3.36,9.5,1,0,0,1
53,-55,-40,14,2.94,10.7,1,1,1,0
54,-30,-27,12,3.97,9.8,0,0,0,0
55,13,-1,70,3.42,8.6,0,0,0,0
