,roi_num,711x,711y,711z,X,Y,Z,part_coef,voxels,comm_density,in_dyslexia,Maisog2008,Richlan2009,Paulesu2014
0,1,-8,-24,63,-7,-21,65,0.0,19,5.7,False,False,False,False
1,2,-8,-36,69,-7,-33,72,0.0,19,5.3,False,False,False,False
2,3,11,-36,72,13,-33,75,0.0,19,5.4,False,False,False,False
3,4,-23,-33,69,-23,-30,72,0.18,19,4.2,False,False,False,False
4,5,18,-32,58,20,-29,60,0.15,17,5.8,False,False,False,False
5,6,8,-21,72,10,-17,74,0.0,19,5.3,False,False,False,False
6,7,-21,-34,58,-21,-31,61,0.13,18,5.6,False,False,False,False
7,8,-14,-21,72,-13,-17,75,0.15,19,5.3,False,False,False,False
8,9,1,-31,58,2,-28,60,0.0,19,8.4,False,False,False,False
9,10,2,-21,57,3,-17,58,0.18,19,5.6,False,False,False,False
10,11,26,-21,69,29,-17,71,0.24,18,4.4,False,False,False,False
11,12,-39,-22,52,-40,-19,54,0.21,19,6.6,True,False,True,False
12,13,-38,-30,66,-38,-27,69,0.14,9,3.8,False,False,False,False
13,14,41,-12,57,44,-8,57,3.01,19,11.5,False,False,False,False
14,15,39,-24,54,42,-20,55,0.15,19,5.2,True,False,False,True
15,16,-38,-18,66,-38,-15,69,0.1,9,4.9,False,False,False,False
16,17,35,-21,45,38,-17,45,0.44,19,10.5,False,False,False,False
17,18,8,-48,69,10,-46,73,1.62,19,15.4,False,False,False,False
18,19,26,-42,57,29,-39,59,1.43,19,9.1,False,False,False,False
19,20,-29,-45,57,-29,-43,61,2.22,19,8.5,False,False,False,False
20,21,20,-45,66,22,-42,69,1.64,19,9.1,False,False,False,False
21,22,-17,-48,69,-16,-46,73,0.52,19,9.3,False,False,False,False
22,23,-17,-9,69,-16,-5,71,4.07,19,11.6,False,False,False,False
23,24,-14,-21,39,-14,-18,40,0.36,14,15.5,False,False,False,False
24,25,-1,-18,46,0,-15,47,3.39,19,14.6,False,False,False,False
25,26,-11,-6,42,-10,-2,42,2.11,19,12.8,False,False,False,False
26,27,8,-6,45,10,-2,45,2.24,19,11.2,False,False,False,False
27,28,17,-12,63,19,-8,64,3.17,19,13.3,False,False,False,False
28,29,-52,-25,41,-54,-23,43,1.47,19,8.3,False,False,False,False
29,30,47,-24,42,50,-20,42,0.98,19,10.1,False,False,False,False
30,31,44,-33,48,47,-30,49,5.28,19,10.4,True,False,False,True
31,32,-44,-34,44,-45,-32,47,2.98,19,9.2,True,False,False,True
32,33,51,-31,34,54,-28,34,4.13,17,12.7,True,True,False,False
33,34,30,-29,14,32,-26,13,1.93,14,12.0,False,False,False,False
34,35,62,-36,21,65,-33,20,3.28,18,11.0,False,False,False,False
35,36,41,-26,21,43,-23,20,1.56,16,9.6,False,False,False,False
36,37,55,-19,10,58,-16,7,1.88,19,9.0,False,False,False,False
37,38,-37,-35,16,-38,-33,17,0.96,14,6.3,False,False,False,False
38,39,-58,-27,13,-60,-25,14,2.25,19,9.2,False,False,False,False
39,40,-47,-28,5,-49,-26,5,1.49,19,10.6,True,False,True,False
40,41,34,-13,16,36,-9,14,2.15,19,13.1,False,False,False,False
41,42,-48,-36,24,-50,-34,26,2.12,17,14.2,True,True,False,False
42,43,-51,-24,22,-53,-22,23,2.35,19,13.4,False,False,False,False
43,44,-53,-12,12,-55,-9,12,2.38,19,10.4,False,False,False,False
44,45,53,-9,16,56,-5,13,2.25,19,12.2,False,False,False,False
45,46,56,-21,30,59,-17,29,3.86,19,12.9,True,False,True,False
46,47,-48,-14,34,-49,-11,35,0.29,19,9.8,False,False,False,False
47,48,48,-10,34,51,-6,32,0.46,19,12.7,False,False,False,False
48,49,-51,-13,24,-53,-10,24,0.99,19,10.5,False,False,False,False
49,50,62,-12,27,66,-8,25,1.02,16,8.6,False,False,False,False
50,51,-43,-3,10,-45,0,9,4.16,19,11.5,False,False,False,False
51,52,-4,-2,53,-3,2,53,3.36,19,9.5,True,False,False,True
52,53,-53,-41,12,-55,-40,14,2.94,19,10.7,True,True,True,False
53,54,-29,-29,12,-30,-27,12,3.97,5,9.8,False,False,False,False
54,55,11,-6,69,13,-1,70,3.42,19,8.6,False,False,False,False
55,56,26,-9,54,29,-5,54,5.93,19,13.2,False,False,False,False
56,57,-8,-54,57,-7,-52,61,3.91,19,14.8,False,False,False,False
57,58,-17,-60,60,-17,-59,64,5.67,19,7.5,True,False,False,True
58,59,49,-35,9,52,-33,8,3.63,19,10.5,False,False,False,False
59,60,47,4,3,49,8,-1,4.34,19,9.7,False,False,False,False
60,61,-49,5,0,-51,8,-2,3.46,19,11.6,False,False,False,False
61,62,5,3,51,7,8,51,4.36,19,11.6,False,False,False,False
62,63,-54,-51,8,-56,-50,10,4.28,19,16.5,True,False,True,False
63,64,51,-45,22,54,-43,22,2.79,19,16.9,False,False,False,False
64,65,53,-48,12,56,-46,11,3.46,19,12.8,False,False,False,False
65,66,-50,-63,3,-52,-63,5,4.84,19,14.3,True,False,False,True
66,67,35,-3,0,37,1,-4,4.36,5,10.4,False,False,False,False
67,68,44,-60,4,46,-59,4,5.78,16,13.9,False,False,False,False
68,69,44,-48,-15,46,-47,-17,3.78,18,12.8,False,False,False,False
69,70,39,-5,48,42,0,47,3.8,19,15.4,False,False,False,False
70,71,-7,-56,25,-7,-55,27,0.47,19,5.3,False,False,False,False
71,72,5,-60,33,6,-59,35,0.08,19,4.3,False,False,False,False
72,73,-11,-57,14,-11,-56,16,0.73,19,8.9,False,False,False,False
73,74,-3,-50,12,-3,-49,13,0.84,14,7.4,False,False,False,False
74,75,7,-50,29,8,-48,31,0.51,16,4.3,False,False,False,False
75,76,14,-64,24,15,-63,26,0.93,19,9.1,False,False,False,False
76,77,10,-55,16,11,-54,17,0.28,19,7.8,False,False,False,False
77,78,49,-61,34,52,-59,36,1.44,19,6.2,False,False,False,False
78,79,21,27,50,23,33,48,1.02,19,6.2,False,False,False,False
79,80,20,33,42,22,39,39,1.02,19,12.1,False,False,False,False
80,81,-39,-75,22,-41,-75,26,0.33,19,14.9,False,False,False,False
81,82,8,42,-9,8,48,-15,0.0,19,10.3,False,False,False,False
82,83,-3,32,39,-2,38,36,3.36,19,8.6,False,False,False,False
83,84,62,-15,-15,65,-12,-19,0.0,18,8.0,False,False,False,False
84,85,62,-33,-6,65,-31,-9,1.42,19,11.7,False,False,False,False
85,86,-65,-42,-6,-68,-41,-5,1.64,17,8.0,False,False,False,False
86,87,-44,-61,18,-46,-61,21,0.48,19,9.6,False,False,False,False
